總雨量 (毫米) - 深水?,,,,
Total Rainfall (mm) - Sham Shui Po,,,,
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,2024-01-01,0,C
2024,1,2024-01-02,0,C
2024,1,2024-01-03,0,C
2024,1,2024-01-04,0,C
2024,1,2024-01-05,0,C
2024,1,2024-01-06,0,C
2024,1,2024-01-07,0,C
2024,1,2024-01-08,0,C
2024,1,2024-01-09,0,C
2024,1,2024-01-10,0,C
2024,1,2024-01-11,0,C
2024,1,2024-01-12,0,C
2024,1,2024-01-13,0,C
2024,1,2024-01-14,0,C
2024,1,2024-01-15,0,C
2024,1,2024-01-16,0,C
2024,1,2024-01-17,0,C
2024,1,2024-01-18,0,C
2024,1,2024-01-19,0,C
2024,1,2024-01-20,0,C
2024,1,2024-01-21,0,C
2024,1,2024-01-22,0,C
2024,1,2024-01-23,3,C
2024,1,2024-01-24,0,C
2024,1,2024-01-25,0,C
2024,1,2024-01-26,0,C
2024,1,2024-01-27,0.5,C
2024,1,2024-01-28,0.5,C
2024,1,2024-01-29,0,C
2024,1,2024-01-30,0.5,C
2024,1,2024-01-31,0,C
2024,2,2024-02-01,0,C
2024,2,2024-02-02,0,C
2024,2,2024-02-03,0,C
2024,2,2024-02-04,0,C
2024,2,2024-02-05,0,C
2024,2,2024-02-06,0,C
2024,2,2024-02-07,0,C
2024,2,2024-02-08,2.5,C
2024,2,2024-02-09,1,C
2024,2,2024-02-10,0.5,C
2024,2,2024-02-11,0,C
2024,2,2024-02-12,0,C
2024,2,2024-02-13,0,C
2024,2,2024-02-14,0,C
2024,2,2024-02-15,0,C
2024,2,2024-02-16,0,C
2024,2,2024-02-17,0,C
2024,2,2024-02-18,0,C
2024,2,2024-02-19,0,C
2024,2,2024-02-20,0,C
2024,2,2024-02-21,0,C
2024,2,2024-02-22,0,C
2024,2,2024-02-23,0,C
2024,2,2024-02-24,0,C
2024,2,2024-02-25,0,C
2024,2,2024-02-26,0,C
2024,2,2024-02-27,0,C
2024,2,2024-02-28,0,C
2024,2,2024-02-29,0,C
2024,3,2024-03-01,0,C
2024,3,2024-03-02,1,C
2024,3,2024-03-03,0,C
2024,3,2024-03-04,0.5,C
2024,3,2024-03-05,0,C
2024,3,2024-03-06,0,C
2024,3,2024-03-07,0.5,C
2024,3,2024-03-08,0,C
2024,3,2024-03-09,3,C
2024,3,2024-03-10,6,C
2024,3,2024-03-11,10,C
2024,3,2024-03-12,0,C
2024,3,2024-03-13,0,C
2024,3,2024-03-14,0,C
2024,3,2024-03-15,0,C
2024,3,2024-03-16,0.5,C
2024,3,2024-03-17,0,C
2024,3,2024-03-18,0,C
2024,3,2024-03-19,0,C
2024,3,2024-03-20,0,C
2024,3,2024-03-21,0,C
2024,3,2024-03-22,0,C
2024,3,2024-03-23,0,C
2024,3,2024-03-24,0,C
2024,3,2024-03-25,0,C
2024,3,2024-03-26,0,C
2024,3,2024-03-27,0,C
2024,3,2024-03-28,0,C
2024,3,2024-03-29,0,C
2024,3,2024-03-30,0,C
2024,3,2024-03-31,0.5,C
2024,4,2024-04-01,0,C
2024,4,2024-04-02,0,C
2024,4,2024-04-03,0,C
2024,4,2024-04-04,0,C
2024,4,2024-04-05,0,C
2024,4,2024-04-06,3.5,C
2024,4,2024-04-07,7,C
2024,4,2024-04-08,0,C
2024,4,2024-04-09,0,C
2024,4,2024-04-10,0,C
2024,4,2024-04-11,0,C
2024,4,2024-04-12,0,C
2024,4,2024-04-13,0,C
2024,4,2024-04-14,0,C
2024,4,2024-04-15,0,C
2024,4,2024-04-16,0,C
2024,4,2024-04-17,0,C
2024,4,2024-04-18,3.5,C
2024,4,2024-04-19,1,C
2024,4,2024-04-20,45,C
2024,4,2024-04-21,65,C
2024,4,2024-04-22,9,C
2024,4,2024-04-23,33,C
2024,4,2024-04-24,0,C
2024,4,2024-04-25,7.5,C
2024,4,2024-04-26,57.5,C
2024,4,2024-04-27,0,C
2024,4,2024-04-28,6,C
2024,4,2024-04-29,0,C
2024,4,2024-04-30,28,C
2024,5,2024-05-01,37.5,C
2024,5,2024-05-02,0,C
2024,5,2024-05-03,0,C
2024,5,2024-05-04,99.5,C
2024,5,2024-05-05,3,C
2024,5,2024-05-06,0,C
2024,5,2024-05-07,0,C
2024,5,2024-05-08,0,C
2024,5,2024-05-09,0,C
2024,5,2024-05-10,0,C
2024,5,2024-05-11,0,C
2024,5,2024-05-12,4,C
2024,5,2024-05-13,0,C
2024,5,2024-05-14,0,C
2024,5,2024-05-15,0,C
2024,5,2024-05-16,0,C
2024,5,2024-05-17,0,C
2024,5,2024-05-18,0,C
2024,5,2024-05-19,10.5,C
2024,5,2024-05-20,22,C
2024,5,2024-05-21,30.5,C
2024,5,2024-05-22,0,C
2024,5,2024-05-23,1.5,C
2024,5,2024-05-24,30.5,C
2024,5,2024-05-25,1,C
2024,5,2024-05-26,0.5,C
2024,5,2024-05-27,3.5,C
2024,5,2024-05-28,13.5,C
2024,5,2024-05-29,0,C
2024,5,2024-05-30,2.5,C
2024,5,2024-05-31,27.5,C
2024,6,2024-06-01,76,C
2024,6,2024-06-02,4.5,C
2024,6,2024-06-03,10.5,C
2024,6,2024-06-04,0,C
2024,6,2024-06-05,0.5,C
2024,6,2024-06-06,0,C
2024,6,2024-06-07,3,C
2024,6,2024-06-08,1.5,C
2024,6,2024-06-09,88.5,C
2024,6,2024-06-10,0.5,C
2024,6,2024-06-11,4,C
2024,6,2024-06-12,10,C
2024,6,2024-06-13,11.5,C
2024,6,2024-06-14,35.5,C
2024,6,2024-06-15,71.5,C
2024,6,2024-06-16,3,C
2024,6,2024-06-17,1,C
2024,6,2024-06-18,4,C
2024,6,2024-06-19,5.5,C
2024,6,2024-06-20,1.5,C
2024,6,2024-06-21,0,C
2024,6,2024-06-22,0,C
2024,6,2024-06-23,8,C
2024,6,2024-06-24,1,C
2024,6,2024-06-25,13.5,C
2024,6,2024-06-26,0.5,C
2024,6,2024-06-27,1,C
2024,6,2024-06-28,0,C
2024,6,2024-06-29,19.5,C
2024,6,2024-06-30,27,C
2024,7,2024-07-01,0.5,C
2024,7,2024-07-02,0,C
2024,7,2024-07-03,0,C
2024,7,2024-07-04,4,C
2024,7,2024-07-05,0,C
2024,7,2024-07-06,3.5,C
2024,7,2024-07-07,0.5,C
2024,7,2024-07-08,0,C
2024,7,2024-07-09,0,C
2024,7,2024-07-10,2.5,C
2024,7,2024-07-11,11,C
2024,7,2024-07-12,10,C
2024,7,2024-07-13,1.5,C
2024,7,2024-07-14,95.5,C
2024,7,2024-07-15,17,C
2024,7,2024-07-16,19,C
2024,7,2024-07-17,21.5,C
2024,7,2024-07-18,20.5,C
2024,7,2024-07-19,53,C
2024,7,2024-07-20,2.5,C
2024,7,2024-07-21,7,C
2024,7,2024-07-22,0,C
2024,7,2024-07-23,0,C
2024,7,2024-07-24,0,C
2024,7,2024-07-25,0,C
2024,7,2024-07-26,6.5,C
2024,7,2024-07-27,67,C
2024,7,2024-07-28,72.5,C
2024,7,2024-07-29,10.5,C
2024,7,2024-07-30,26,C
2024,7,2024-07-31,59,C
2024,8,2024-08-01,0.5,C
2024,8,2024-08-02,0.5,C
2024,8,2024-08-03,0,C
2024,8,2024-08-04,0,C
2024,8,2024-08-05,0,C
2024,8,2024-08-06,14,C
2024,8,2024-08-07,0,C
2024,8,2024-08-08,0,C
2024,8,2024-08-09,0,C
2024,8,2024-08-10,2,C
2024,8,2024-08-11,0,C
2024,8,2024-08-12,44.5,C
2024,8,2024-08-13,9.5,C
2024,8,2024-08-14,0,C
2024,8,2024-08-15,14.5,C
2024,8,2024-08-16,0.5,C
2024,8,2024-08-17,99,C
2024,8,2024-08-18,36,C
2024,8,2024-08-19,41,C
2024,8,2024-08-20,9.5,C
2024,8,2024-08-21,7.5,C
2024,8,2024-08-22,0,C
2024,8,2024-08-23,0,C
2024,8,2024-08-24,0,C
2024,8,2024-08-25,0,C
2024,8,2024-08-26,0,C
2024,8,2024-08-27,0,C
2024,8,2024-08-28,0.5,C
2024,8,2024-08-29,1,C
2024,8,2024-08-30,11,C
2024,8,2024-08-31,4.5,C
,,,,
*** 沒有數據/unavailable,,,,
# 數據不完整/data incomplete,,,,
C 數據完整/data Complete,,,,
